,queue,tier,division,page,status_code,row_count
0,RANKED_SOLO_5x5,DIAMOND,I,1,200,205
1,RANKED_SOLO_5x5,DIAMOND,I,2,200,205
2,RANKED_SOLO_5x5,DIAMOND,I,3,200,205
3,RANKED_SOLO_5x5,DIAMOND,I,4,200,205
4,RANKED_SOLO_5x5,DIAMOND,I,5,200,205
5,RANKED_SOLO_5x5,DIAMOND,I,6,200,205
6,RANKED_SOLO_5x5,DIAMOND,I,7,200,205
7,RANKED_SOLO_5x5,DIAMOND,I,8,200,205
8,RANKED_SOLO_5x5,DIAMOND,I,9,200,205
9,RANKED_SOLO_5x5,DIAMOND,I,10,200,205
10,RANKED_SOLO_5x5,DIAMOND,I,11,200,205
11,RANKED_SOLO_5x5,DIAMOND,I,12,200,205
12,RANKED_SOLO_5x5,DIAMOND,I,13,200,205
13,RANKED_SOLO_5x5,DIAMOND,I,14,200,205
14,RANKED_SOLO_5x5,DIAMOND,I,15,200,205
15,RANKED_SOLO_5x5,DIAMOND,I,16,200,205
16,RANKED_SOLO_5x5,DIAMOND,I,17,200,205
17,RANKED_SOLO_5x5,DIAMOND,I,18,200,205
18,RANKED_SOLO_5x5,DIAMOND,I,19,200,205
19,RANKED_SOLO_5x5,DIAMOND,I,20,200,205
20,RANKED_SOLO_5x5,DIAMOND,I,21,200,205
21,RANKED_SOLO_5x5,DIAMOND,I,22,200,205
22,RANKED_SOLO_5x5,DIAMOND,I,23,200,205
23,RANKED_SOLO_5x5,DIAMOND,I,24,200,205
24,RANKED_SOLO_5x5,DIAMOND,I,25,200,129
